"district_id","district_name",
3,"nicobar",
1,"north and middle andaman",
2,"south andaman",
9,"anantapur",
10,"chittoor",
11,"east godavari",
5,"guntur",
4,"krishna",
7,"kurnool",
12,"prakasam",
13,"sri potti sriramulu nellore",
14,"srikakulam",
8,"visakhapatnam",
15,"vizianagaram",
16,"west godavari",
6,"ysr district, kadapa (cuddapah)",
22,"anjaw",
20,"changlang",
25,"dibang valley",
23,"east kameng",
42,"east siang",
17,"itanagar capital complex",
24,"kamle",
27,"kra daadi",
21,"kurung kumey",
33,"lepa rada",
29,"lohit",
40,"longding",
31,"lower dibang valley",
18,"lower siang",
32,"lower subansiri",
36,"namsai",
19,"pakke kessang",
39,"papum pare",
35,"shi yomi",
37,"siang",
30,"tawang",
26,"tirap",
34,"upper siang",
41,"upper subansiri",
28,"west kameng",
38,"west siang",
46,"baksa",
47,"barpeta",
765,"biswanath",
57,"bongaigaon",
66,"cachar",
766,"charaideo",
58,"chirang",
48,"darrang",
62,"dhemaji",
59,"dhubri",
43,"dibrugarh",
67,"dima hasao",
60,"goalpara",
53,"golaghat",
68,"hailakandi",
764,"hojai",
54,"jorhat",
49,"kamrup metropolitan",
50,"kamrup rural",
51,"karbi-anglong",
69,"karimganj",
61,"kokrajhar",
63,"lakhimpur",
767,"majuli",
55,"morigaon",
56,"nagaon",
52,"nalbari",
44,"sivasagar",
64,"sonitpur",
768,"south salmara mankachar",
45,"tinsukia",
65,"udalguri",
769,"west karbi anglong",
74,"araria",
78,"arwal",
77,"aurangabad",
83,"banka",
98,"begusarai",
82,"bhagalpur",
99,"bhojpur",
100,"buxar",
94,"darbhanga",
105,"east champaran",
79,"gaya",
104,"gopalganj",
107,"jamui",
91,"jehanabad",
80,"kaimur",
75,"katihar",
101,"khagaria",
76,"kishanganj",
84,"lakhisarai",
70,"madhepura",
95,"madhubani",
85,"munger",
86,"muzaffarpur",
90,"nalanda",
92,"nawada",
97,"patna",
73,"purnia",
81,"rohtas",
71,"saharsa",
96,"samastipur",
102,"saran",
93,"sheikhpura",
87,"sheohar",
88,"sitamarhi",
103,"siwan",
72,"supaul",
89,"vaishali",
106,"west champaran",
108,"chandigarh",
110,"balod",
111,"baloda bazar",
112,"balrampur",
113,"bastar",
114,"bemetara",
115,"bijapur",
219,"bilaspur",
117,"dantewada",
118,"dhamtari",
119,"durg",
120,"gariaband",
136,"gaurela pendra marwahi ",
121,"janjgir-champa",
122,"jashpur",
123,"kanker",
135,"kawardha",
124,"kondagaon",
125,"korba",
126,"koriya",
127,"mahasamund",
128,"mungeli",
129,"narayanpur",
130,"raigarh",
109,"raipur",
131,"rajnandgaon",
132,"sukma",
133,"surajpur",
134,"surguja",
137,"dadra and nagar haveli",
138,"daman",
139,"diu",
141,"central delhi",
145,"east delhi",
140,"new delhi",
146,"north delhi",
147,"north east delhi",
143,"north west delhi",
148,"shahdara",
149,"south delhi",
144,"south east delhi",
150,"south west delhi",
142,"west delhi",
151,"north goa",
152,"south goa",
154,"ahmedabad",
770,"ahmedabad corporation",
174,"amreli",
179,"anand",
158,"aravalli",
159,"banaskantha",
180,"bharuch",
175,"bhavnagar",
771,"bhavnagar corporation",
176,"botad",
181,"chhotaudepur",
182,"dahod",
163,"dang",
168,"devbhumi dwaraka",
153,"gandhinagar",
772,"gandhinagar corporation",
177,"gir somnath",
169,"jamnagar",
773,"jamnagar corporation",
178,"junagadh",
774,"junagadh corporation",
156,"kheda",
170,"kutch",
183,"mahisagar",
160,"mehsana",
171,"morbi",
184,"narmada",
164,"navsari",
185,"panchmahal",
161,"patan",
172,"porbandar",
173,"rajkot",
775,"rajkot corporation",
162,"sabarkantha",
165,"surat",
776,"surat corporation",
157,"surendranagar",
166,"tapi",
155,"vadodara",
777,"vadodara corporation",
167,"valsad",
193,"ambala",
200,"bhiwani",
201,"charkhi dadri",
199,"faridabad",
196,"fatehabad",
188,"gurgaon",
191,"hisar",
189,"jhajjar",
204,"jind",
190,"kaithal",
203,"karnal",
186,"kurukshetra",
206,"mahendragarh",
205,"nuh",
207,"palwal",
187,"panchkula",
195,"panipat",
202,"rewari",
192,"rohtak",
194,"sirsa",
198,"sonipat",
197,"yamunanagar",
214,"chamba",
655,"hamirpur",
213,"kangra",
216,"kinnaur",
211,"kullu",
210,"lahaul spiti",
215,"mandi",
208,"shimla",
212,"sirmaur",
209,"solan",
218,"una",
224,"anantnag",
223,"bandipore",
225,"baramulla",
229,"budgam",
232,"doda",
228,"ganderbal",
230,"jammu",
234,"kathua",
231,"kishtwar",
221,"kulgam",
226,"kupwara",
238,"poonch",
227,"pulwama",
237,"rajouri",
235,"ramban",
239,"reasi",
236,"samba",
222,"shopian",
220,"srinagar",
233,"udhampur",
242,"bokaro",
245,"chatra",
253,"deoghar",
257,"dhanbad",
258,"dumka",
247,"east singhbhum",
243,"garhwa",
256,"giridih",
262,"godda",
251,"gumla",
255,"hazaribagh",
259,"jamtara",
252,"khunti",
241,"koderma",
244,"latehar",
250,"lohardaga",
261,"pakur",
246,"palamu",
254,"ramgarh",
240,"ranchi",
260,"sahebganj",
248,"seraikela kharsawan",
249,"simdega",
263,"west singhbhum",
270,"bagalkot",
276,"bangalore rural",
265,"bangalore urban",
294,"bbmp",
264,"belgaum",
274,"bellary",
272,"bidar",
271,"chamarajanagar",
273,"chikamagalur",
291,"chikkaballapur",
268,"chitradurga",
269,"dakshina kannada",
275,"davanagere",
278,"dharwad",
280,"gadag",
267,"gulbarga",
289,"hassan",
279,"haveri",
283,"kodagu",
277,"kolar",
282,"koppal",
290,"mandya",
266,"mysore",
284,"raichur",
292,"ramanagara",
287,"shimoga",
288,"tumkur",
286,"udupi",
281,"uttar kannada",
293,"vijayapura",
285,"yadgir",
301,"alappuzha",
307,"ernakulam",
306,"idukki",
297,"kannur",
295,"kasaragod",
298,"kollam",
304,"kottayam",
305,"kozhikode",
302,"malappuram",
308,"palakkad",
300,"pathanamthitta",
296,"thiruvananthapuram",
303,"thrissur",
299,"wayanad",
309,"kargil",
310,"leh",
796,"agatti island",
311,"lakshadweep",
320,"agar",
357,"alirajpur",
334,"anuppur",
354,"ashoknagar",
338,"balaghat",
343,"barwani",
362,"betul",
351,"bhind",
312,"bhopal",
342,"burhanpur",
328,"chhatarpur",
337,"chhindwara",
327,"damoh",
350,"datia",
324,"dewas",
341,"dhar",
336,"dindori",
348,"guna",
313,"gwalior",
361,"harda",
360,"hoshangabad",
314,"indore",
315,"jabalpur",
340,"jhabua",
353,"katni",
339,"khandwa",
344,"khargone",
335,"mandla",
319,"mandsaur",
347,"morena",
352,"narsinghpur",
323,"neemuch",
326,"panna",
359,"raisen",
358,"rajgarh",
322,"ratlam",
316,"rewa",
317,"sagar",
333,"satna",
356,"sehore",
349,"seoni",
332,"shahdol",
321,"shajapur",
346,"sheopur",
345,"shivpuri",
331,"sidhi",
330,"singrauli",
325,"tikamgarh",
318,"ujjain",
329,"umaria",
355,"vidisha",
391,"ahmednagar",
364,"akola",
366,"amravati",
397,"aurangabad ",
384,"beed",
370,"bhandara",
367,"buldhana",
380,"chandrapur",
388,"dhule",
379,"gadchiroli",
378,"gondia",
386,"hingoli",
390,"jalgaon",
396,"jalna",
371,"kolhapur",
383,"latur",
395,"mumbai",
365,"nagpur",
382,"nanded",
387,"nandurbar",
389,"nashik",
381,"osmanabad",
394,"palghar",
385,"parbhani",
363,"pune",
393,"raigad",
372,"ratnagiri",
373,"sangli",
376,"satara",
374,"sindhudurg",
375,"solapur",
392,"thane",
377,"wardha",
369,"washim",
368,"yavatmal",
398,"bishnupur",
399,"chandel",
400,"churachandpur",
401,"imphal east",
402,"imphal west",
410,"jiribam",
413,"kakching",
409,"kamjong",
408,"kangpokpi",
412,"noney",
411,"pherzawl",
403,"senapati",
404,"tamenglong",
407,"tengnoupal",
405,"thoubal",
406,"ukhrul",
424,"east garo hills",
418,"east jaintia hills",
414,"east khasi hills",
423,"north garo hills",
417,"ri-bhoi",
421,"south garo hills",
422,"south west garo hills",
415,"south west khasi hills",
420,"west garo hills",
416,"west jaintia hills",
419,"west khasi hills",
425,"aizawl east",
426,"aizawl west",
429,"champhai",
428,"kolasib",
432,"lawngtlai",
431,"lunglei",
427,"mamit",
430,"serchhip",
433,"siaha",
434,"dimapur",
444,"kiphire",
441,"kohima",
438,"longleng",
437,"mokokchung",
439,"mon",
435,"peren",
443,"phek",
440,"tuensang",
436,"wokha",
442,"zunheboto",
445,"angul",
448,"balangir",
447,"balasore",
472,"bargarh",
454,"bhadrak",
468,"boudh",
457,"cuttack",
473,"deogarh",
458,"dhenkanal",
467,"gajapati",
449,"ganjam",
459,"jagatsinghpur",
460,"jajpur",
474,"jharsuguda",
464,"kalahandi",
450,"kandhamal",
461,"kendrapara",
455,"kendujhar",
446,"khurda",
451,"koraput",
469,"malkangiri",
456,"mayurbhanj",
470,"nabarangpur",
462,"nayagarh",
465,"nuapada",
463,"puri",
471,"rayagada",
452,"sambalpur",
466,"subarnapur",
453,"sundargarh",
476,"karaikal",
477,"mahe",
475,"puducherry",
478,"yanam",
485,"amritsar",
483,"barnala",
493,"bathinda",
499,"faridkot",
484,"fatehgarh sahib",
487,"fazilka",
480,"ferozpur",
489,"gurdaspur",
481,"hoshiarpur",
492,"jalandhar",
479,"kapurthala",
488,"ludhiana",
482,"mansa",
491,"moga",
486,"pathankot",
494,"patiala",
497,"rup nagar",
498,"sangrur",
496,"sas nagar",
500,"sbs nagar",
490,"sri muktsar sahib",
495,"tarn taran",
507,"ajmer",
512,"alwar",
519,"banswara",
516,"baran",
528,"barmer",
508,"bharatpur",
523,"bhilwara",
501,"bikaner",
514,"bundi",
521,"chittorgarh",
530,"churu",
511,"dausa",
524,"dholpur",
520,"dungarpur",
517,"hanumangarh",
505,"jaipur i",
506,"jaipur ii",
527,"jaisalmer",
533,"jalore",
515,"jhalawar",
510,"jhunjhunu",
502,"jodhpur",
525,"karauli",
503,"kota",
532,"nagaur",
529,"pali",
682,"pratapgarh",
518,"rajsamand",
534,"sawai madhopur",
513,"sikar",
531,"sirohi",
509,"sri ganganagar",
526,"tonk",
504,"udaipur",
535,"east sikkim",
537,"north sikkim",
538,"south sikkim",
536,"west sikkim",
779,"aranthangi",
555,"ariyalur",
578,"attur",
565,"chengalpet",
571,"chennai",
778,"cheyyar",
539,"coimbatore",
547,"cuddalore",
566,"dharmapuri",
556,"dindigul",
563,"erode",
552,"kallakurichi",
557,"kanchipuram",
544,"kanyakumari",
559,"karur",
780,"kovilpatti",
562,"krishnagiri",
540,"madurai",
576,"nagapattinam",
558,"namakkal",
577,"nilgiris",
564,"palani",
573,"paramakudi",
570,"perambalur",
575,"poonamallee",
546,"pudukkottai",
567,"ramanathapuram",
781,"ranipet",
545,"salem",
561,"sivaganga",
580,"sivakasi",
551,"tenkasi",
541,"thanjavur",
569,"theni",
554,"thoothukudi (tuticorin)",
560,"tiruchirappalli",
548,"tirunelveli",
550,"tirupattur",
568,"tiruppur",
572,"tiruvallur",
553,"tiruvannamalai",
574,"tiruvarur",
543,"vellore",
542,"viluppuram",
549,"virudhunagar",
582,"adilabad",
583,"bhadradri kothagudem",
581,"hyderabad",
584,"jagtial",
585,"jangaon",
586,"jayashankar bhupalpally",
587,"jogulamba gadwal",
588,"kamareddy",
589,"karimnagar",
590,"khammam",
591,"kumuram bheem",
592,"mahabubabad",
593,"mahabubnagar",
594,"mancherial",
595,"medak",
596,"medchal",
612,"mulugu",
597,"nagarkurnool",
598,"nalgonda",
613,"narayanpet",
599,"nirmal",
600,"nizamabad",
601,"peddapalli",
602,"rajanna sircilla",
603,"rangareddy",
604,"sangareddy",
605,"siddipet",
606,"suryapet",
607,"vikarabad",
608,"wanaparthy",
609,"warangal(rural)",
610,"warangal(urban)",
611,"yadadri bhuvanagiri",
614,"dhalai",
615,"gomati",
616,"khowai",
617,"north tripura",
618,"sepahijala",
619,"south tripura",
620,"unakoti",
621,"west tripura",
622,"agra",
623,"aligarh",
625,"ambedkar nagar",
626,"amethi",
627,"amroha",
628,"auraiya",
646,"ayodhya",
629,"azamgarh",
630,"badaun",
631,"baghpat",
632,"bahraich",
633,"balarampur",
634,"ballia",
635,"banda",
636,"barabanki",
637,"bareilly",
638,"basti",
687,"bhadohi",
639,"bijnour",
640,"bulandshahr",
641,"chandauli",
642,"chitrakoot",
643,"deoria",
644,"etah",
645,"etawah",
647,"farrukhabad",
648,"fatehpur",
649,"firozabad",
650,"gautam buddha nagar",
651,"ghaziabad",
652,"ghazipur",
653,"gonda",
654,"gorakhpur",
656,"hapur",
657,"hardoi",
658,"hathras",
659,"jalaun",
660,"jaunpur",
661,"jhansi",
662,"kannauj",
663,"kanpur dehat",
664,"kanpur nagar",
665,"kasganj",
666,"kaushambi",
667,"kushinagar",
668,"lakhimpur kheri",
669,"lalitpur",
670,"lucknow",
671,"maharajganj",
672,"mahoba",
673,"mainpuri",
674,"mathura",
675,"mau",
676,"meerut",
677,"mirzapur",
678,"moradabad",
679,"muzaffarnagar",
680,"pilibhit",
624,"prayagraj",
681,"raebareli",
683,"rampur",
684,"saharanpur",
685,"sambhal",
686,"sant kabir nagar",
688,"shahjahanpur",
689,"shamli",
690,"shravasti",
691,"siddharthnagar",
692,"sitapur",
693,"sonbhadra",
694,"sultanpur",
695,"unnao",
696,"varanasi",
704,"almora",
707,"bageshwar",
699,"chamoli",
708,"champawat",
697,"dehradun",
702,"haridwar",
709,"nainital",
698,"pauri garhwal",
706,"pithoragarh",
700,"rudraprayag",
701,"tehri garhwal",
705,"udham singh nagar",
703,"uttarkashi",
710,"alipurduar district",
711,"bankura",
712,"basirhat hd (north 24 parganas)",
713,"birbhum",
714,"bishnupur hd (bankura)",
715,"cooch behar",
783,"coochbehar",
716,"dakshin dinajpur",
717,"darjeeling",
718,"diamond harbor hd (s 24 parganas)",
719,"east bardhaman",
720,"hoogly",
721,"howrah",
722,"jalpaiguri",
723,"jhargram",
724,"kalimpong",
725,"kolkata",
726,"malda",
727,"murshidabad",
728,"nadia",
729,"nandigram hd (east medinipore)",
730,"north 24 parganas",
731,"paschim medinipore",
732,"purba medinipore",
733,"purulia",
734,"rampurhat hd (birbhum)",
735,"south 24 parganas",
736,"uttar dinajpur",
737,"west bardhaman",
